title,grade,genre,people,genre2
소공녀,9.2,"멜로/로맨스, 드라마",59685,멜로/로맨스
소름,7.26,"공포, 미스터리","78,545",공포
소셜포비아,7.81,"스릴러, 드라마",251645,스릴러
소수의견,8.71,드라마,383582,드라마
소원,9.32,드라마,2711094,드라마
수상한 그녀,9.09,"코미디, 드라마",8660623,코미디
순수의 시대,6.41,드라마,470308,드라마
순정,8.93,드라마,240704,드라마
순천,9,다큐멘터리,3855,다큐멘터리
숨바꼭질,6.78,스릴러,5604106,스릴러
쉿! 그녀에겐 비밀이에요,6.34,"드라마, 멜로/로맨스",2382,멜로/로맨스
슈팅걸스,0,"드라마, 가족",5591,드라마
슈퍼스타 감사용,9.03,"드라마, 코미디",627199,코미디
스물,8.6,"코미디, 드라마",3044859,코미디
스승의 은혜,6.44,"공포, 스릴러",550215,"공포, 스릴러"
스카우트,8.17,"코미디, 멜로/로맨스",292462,로맨틱코미디
스캔들 - 조선남녀상열지사,7.91,"드라마, 멜로/로맨스","3,522,747",멜로/로맨스
스타박'스 다방,8.33,드라마,2772,드라마
스플릿,9.15,드라마,758195,드라마
슬로우 비디오,7.77,드라마,1169546,드라마
쉬리,8.86,"액션, 멜로/로맨스","5,820,000",액션
슈퍼맨이었던 사나이,7.48,"코미디, 드라마",550284,코미디
시간이탈자,7.88,스릴러,1202511,스릴러
"시발, 놈 - 인류의 시작",7.96,"코미디, 드라마",1159,코미디
시라노;연애 조작단,8,"멜로/로맨스, 코미디",2684798,로맨틱코미디
시실리 2km,7.99,"공포, 코미디",1263196,공포
시월애,9.23,"드라마, 멜로/로맨스","248,597",멜로/로맨스
식객,8.48,"드라마, 코미디",2965359,코미디
식객: 김치전쟁,7.19,드라마,462714,드라마
신과함께,8.63,"판타지, 드라마",12276350,판타지
신과함께-죄와 벌,8.73,"판타지, 드라마",14411775,판타지
신과함께-인과 연,8.63,"판타지, 드라마",12276350,판타지
신기전,8.28,"드라마, 액션, 전쟁",3728439,액션
신데렐라,6.61,"애니메이션, 판타지",284922,애니메이션
신라의 달밤,7.55,"코미디, 액션","1,608,211",코미디
신세계,8.92,"범죄, 드라마",4684571,범죄
신장 개업,7.59,"공포, 코미디","100,915",공포
신의 한 수,8.69,"범죄, 액션",2159081,범죄
실미도,8.54,"전쟁, 스릴러, 드라마","11,081,000",전쟁
실종,6.05,"범죄, 스릴러",644276,범죄
실종: 사라진 아내,10,"스릴러, 멜로/로맨스",185,스릴러
심야의 FM,6.84,"스릴러, 범죄",1208310,스릴러
싱글라이더,8,드라마,351276,드라마
싱글즈,8.11,"멜로/로맨스, 코미디","2,203,042",로맨틱코미디
싸울아비,3.29,멜로/로맨스,"11,301",멜로/로맨스
싸움,6.04,"멜로/로맨스, 코미디",342119,로맨틱코미디
싸움의 기술,7.92,"코미디, 액션",1146463,코미디
싸이보그지만 괜찮아,5.12,"드라마, 멜로/로맨스",676538,멜로/로맨스
쌍화점,7.24,드라마,3749034,드라마
써니,9.11,"코미디, 드라마",7453715,코미디
썸머타임,5.38,멜로/로맨스,"84,413",멜로/로맨스
쎄시봉,7.94,"멜로/로맨스, 드라마",1715370,멜로/로맨스
쏜다,7.74,"코미디, 액션, 드라마",328837,코미디
아가씨,7.69,"스릴러, 드라마",4288996,스릴러
아기와 나,7.91,"코미디, 가족",435940,코미디
아내가 결혼했다,5.07,"멜로/로맨스, 드라마",1799501,멜로/로맨스
아는 여자,9.12,코미디,736394,코미디
아들,7.86,드라마,452209,드라마
아라한 장풍대작전,8.11,"액션, 코미디, 판타지",810430,액션
아부의 왕,5.64,코미디,497880,코미디
아수라,6.54,"범죄, 액션",2594769,범죄
아이들…,7.88,범죄,1867849,범죄
아이 캔 스피크,9.23,드라마,3283470,드라마
아저씨,9.24,"액션, 범죄, 드라마",6178665,액션
아프리카,5.5,"드라마, 모험","9,419",드라마
아홉살 인생,9.08,드라마,85312,드라마
악녀,7.83,액션,1208081,액션
악마를 보았다,7.95,"범죄, 스릴러",1817069,범죄
악어,6.54,드라마,"3,284",드라마
악의 연대기,8.22,"범죄, 스릴러",2192525,범죄
안녕 형아,8.28,"드라마, 가족",924019,드라마
안시성,8.63,액션,5441020,액션
알바트로스,6.94,"드라마, 액션, 전쟁","9,714",액션
알 포인트,8.76,"공포, 미스터리, 액션",1068362,공포
암살,9.1,"액션, 드라마",12706829,액션
애마부인,6.62,멜로/로맨스,315000,멜로/로맨스
